Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
Beach Berry Freeze (20 oz),210,0,0,0,0,10,53,0,53,0
Beach Berry Freeze (32 oz),340,0,0,0,0,20,85,0,85,0
Caleb's Kola (20 oz) - LV,230,0,0,0,0,115,60,0,58,0
Ginger Mule Freeze (16 oz),170,0,0,0,0,10,43,0,43,0
Ginger Mule Freeze (20 oz),210,0,0,0,0,10,53,0,53,0
Ginger Mule Freeze (32 oz),340,0,0,0,0,20,85,0,85,0
IZZE Sparkling Clementine (20 oz) - LV,180,0,0,0,0,190,48,0,45,0
Margarita Freeze (16 oz),170,0,0,0,0,10,43,0,43,0
Margarita Freeze (20 oz),210,0,0,0,0,10,53,0,53,0
Margarita Freeze (32 oz),340,0,0,0,0,20,85,0,85,0
Mtn Dew® Baja Blast Freeze™ (16 oz),150,0,0,0,0,45,41,0,41,0
Mtn Dew® Baja Blast Freeze™ (20 oz),190,0,0,0,0,55,51,0,51,0
Mtn Dew® Baja Blast Freeze™ (32 oz),310,0,0,0,0,85,82,0,82,0
Party Punch Freeze (16 oz),170,0,0,0,0,10,43,0,43,0
Party Punch Freeze (20 oz),210,0,0,0,0,10,53,0,53,0
Party Punch Freeze (32 oz),340,0,0,0,0,20,85,0,85,0
Red Sangria - LV,330,0,0,0,0,35,28,0,24,0
Rum (80 proof) - Double - LV,250,0,0,0,0,0,0,0,0,0
Rum (80 proof) - Single - LV,120,0,0,0,0,0,0,0,0,0
Stubborn Soda - Black Cherry Taragon (20 oz) - LV,190,0,0,0,0,70,48,0,48,0
Stubborn Soda - Classic Root Beer (20 oz) - LV,200,0,0,0,0,90,52,0,52,0
Tequila (80 proof) - Double - LV,250,0,0,0,0,0,0,0,0,0
Tequila (80 proof) - Single - LV,120,0,0,0,0,0,0,0,0,0
Vodka (80 proof) - Double - LV,250,0,0,0,0,0,0,0,0,0
Vodka (80 proof) - Single - LV,120,0,0,0,0,0,0,0,0,0
Whiskey (80 proof) - Double - LV,250,0,0,0,0,0,0,0,0,0
Whiskey (80 proof) - Single - LV,120,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
Fountain Beverages (16 oz),,,,,,,,,,
7-Up (16 fl oz),190,0,0,0,0,70,46,0,46,0
Brisk® Dragon Paradise Sparkling Iced Tea (16 fl oz),70,0,0,0,0,80,17,0,17,0
Brisk® Mango Iced Tea (16 fl oz),90,0,0,0,0,50,24,0,24,0
Brisk® Unsweetened No Lemon Iced Tea (16 fl oz),0,0,0,0,0,70,0,0,0,0
Diet Dr Pepper® (16 fl oz),0,0,0,0,0,95,0,0,0,0
Diet Mtn Dew® (16 fl oz),5,0,0,0,0,75,1,0,1,0
Diet Pepsi® (16 fl oz),0,0,0,0,0,75,0,0,0,0
Dole Strawberry Lemonade Squeeze (16 fl oz),70,0,0,0,0,135,17,0,17,0
Dr Pepper® (16 fl oz),190,0,0,0,0,60,52,0,51,0
G2 - Fruit Punch (16 fl oz),45,0,0,0,0,220,10,0,9,0
Mtn Dew® (16 fl oz),220,0,0,0,0,70,59,0,58,0
Mtn Dew® Baja Blast™ (16 fl oz),220,0,0,0,0,65,59,0,59,0
Mtn Dew® Baja Blast Zero Sugar (16 fl oz),5,0,0,0,0,70,0,0,0,0
Mug® Root Beer (16 fl oz),190,0,0,0,0,75,51,0,51,0
Pepsi® (16 fl oz),200,0,0,0,0,40,55,0,55,0
Pepsi® Wild Cherry (16 fl oz),210,0,0,0,0,45,56,0,56,0
Pepsi® Zero Sugar (16 fl oz),0,0,0,0,0,85,0,0,0,0
Sierra Mist® (16 fl oz),200,0,0,0,0,45,54,0,54,0
,,,,,,,,,,
Fountain Beverages (20 oz),,,,,,,,,,
7-Up (20 fl oz),240,0,0,0,0,85,58,0,58,0
Brisk® Dragon Paradise Sparkling Iced Tea (20 fl oz),80,0,0,0,0,100,21,0,21,0
Brisk® Mango Iced Tea (20 fl oz),110,0,0,0,0,65,30,0,30,0
Brisk® Unsweetened No Lemon Iced Tea (20 fl oz),0,0,0,0,0,85,0,0,0,0
Diet Dr Pepper® (20 fl oz),0,0,0,0,0,120,0,0,0,0
Diet Mtn Dew® (20 fl oz),10,0,0,0,0,90,1,0,1,0
Diet Pepsi® (20 fl oz),0,0,0,0,0,95,0,0,0,0
Dole Strawberry Lemonade Squeeze (20 fl oz),90,0,0,0,0,170,22,0,21,0
Dr Pepper® (20 fl oz),240,0,0,0,0,75,65,0,64,0
G2 - Fruit Punch (20 fl oz),50,0,0,0,0,270,13,0,12,0
Mtn Dew® (20 fl oz),280,0,0,0,0,85,73,0,73,0
Mtn Dew® Baja Blast™ (20 fl oz),280,0,0,0,0,80,74,0,74,0
Mtn Dew® Baja Blast Zero Sugar (20 fl oz),10,0,0,0,0,85,0,0,0,0
Mug® Root Beer (20 fl oz),240,0,0,0,0,95,64,0,63,0
Pepsi® (20 fl oz),250,0,0,0,0,50,69,0,69,0
Pepsi® Wild Cherry (20 fl oz),260,0,0,0,0,55,70,0,70,0
Pepsi® Zero Sugar (20 fl oz),0,0,0,0,0,105,0,0,0,0
Sierra Mist® (20 fl oz),260,0,0,0,0,55,68,0,68,0
,,,,,,,,,,
Fountain Beverages (30 oz),,,,,,,,,,
7-Up (30 fl oz),350,0,0,0,0,125,87,0,87,0
Brisk® Dragon Paradise Sparkling Iced Tea (30 fl oz),120,0,0,0,0,150,32,0,31,0
Brisk® Mango Iced Tea (30 fl oz),170,0,0,0,0,95,45,0,45,0
Brisk® Unsweetened No Lemon Iced Tea (30 fl oz),0,0,0,0,0,125,0,0,0,0
Diet Dr Pepper® (30 fl oz),0,0,0,0,0,180,<1,0,0,0
Diet Mtn Dew® (30 fl oz),10,0,0,0,0,140,1,0,1,0
Diet Pepsi® (30 fl oz),0,0,0,0,0,140,0,0,0,0
Dole Strawberry Lemonade Squeeze (30 fl oz),130,0,0,0,0,250,33,0,32,0
Dr Pepper® (30 fl oz),360,0,0,0,0,110,98,0,96,0
G2 - Fruit Punch (30 fl oz),80,0,0,0,0,410,19,0,17,0
Mtn Dew® (30 fl oz),420,0,0,0,0,130,110,0,110,0
Mtn Dew® Baja Blast™ (30 fl oz),420,0,0,0,0,120,111,0,111,0
Mtn Dew® Baja Blast Zero Sugar (30 fl oz),15,0,0,0,0,125,0,0,0,0
Mug® Root Beer (30 fl oz),360,0,0,0,0,140,96,0,95,0
Pepsi® (30 fl oz),380,0,0,0,0,80,103,0,103,0
Pepsi® Wild Cherry (30 fl oz),390,0,0,0,0,80,106,0,105,0
Pepsi® Zero Sugar (30 fl oz),0,0,0,0,0,160,<1,0,0,0
Sierra Mist® (30 fl oz),380,0,0,0,0,80,101,0,101,0
,,,,,,,,,,
Ingredient Statement Key:,,,,,,,,,,
C = Color added,,,,,,,,,,
VC = Vegetable color added,,,,,,,,,,
PF = Protects flavor,,,,,,,,,,
P = Preservative,,,,,,,,,,
